1   1167.2	0.44	1167.0	0.23	1167.0	0.21	1166.9	0.15	1166.9	0.17	1166.9	0.15	1167.3	-0.4
2   1251.0	0.44	1250.8	0.25	1250.7	0.15	1250.7	0.10	1250.6	0.06	1250.6	0.04	1249.1	1.5
3   1499.9	-0.22	1499.9	-0.15	1499.7	-0.34	1499.7	-0.35	1499.7	-0.41	1499.7	-0.38	1500.2	-0.5
4   1747.3	0.66	1747.3	0.62	1747.1	0.41	1747.1	0.42	1747.0	0.34	1747.0	0.33	1746.1	0.9
5   2327.4	0.07	2327.1	-0.17	2327.0	-0.24	2326.9	-0.35	2326.9	-0.40	2326.8	-0.44	2327.5	-0.7
6   2422.9	1.10	2422.3	0.52	2422.1	0.37	2422.1	0.31	2422.0	0.29	2422.0	0.22	2422.4	-0.4
7   2498.6	0.57	2498.4	0.41	2498.3	0.31	2498.2	0.24	2498.2	0.19	2498.2	0.17	2496.1	2.1
8   2666.1	-0.22	2666.2	-0.13	2666.1	-0.25	2666.3	-0.08	2666.3	-0.04	2666.3	-0.03	2667.1	-0.8
9   2721.3	1.57	2720.9	1.23	2720.8	1.11	2720.7	1.03	2720.6	0.95	2720.6	0.93	2718.6	2.0
10  2781.1	-0.26	2780.9	-0.46	2780.9	-0.46	2780.9	-0.43	2780.9	-0.43	2780.9	-0.43	2782.5	-1.6
11  2842.8	0.20	2842.3	-0.30	2842.4	-0.22	2842.4	-0.24	2842.4	-0.26	2842.4	-0.28	2843.4	-1.0
12  2906.6	0.73	2906.0	0.18	2906.0	0.12	2906.0	0.09	2906.0	0.11	2906.0	0.15	2906.0	0.0
13  3000.4	1.30	3000.5	1.38	3001.2	2.11	3001.5	2.41	3001.4	2.30	3001.5	2.38	2998.1	3.4
14  3002.2	0.87	3002.1	0.81	3002.2	0.96	3002.1	0.80	3002.1	0.80	3002.1	0.78	3000.6	1.5
15  3240.3	1.46	3240.2	1.45	3240.3	1.55	3240.4	1.60	3240.3	1.51	3240.3	1.48	3239.0	1.3
16  3472.9	1.08	3472.6	0.81	3472.6	0.82	3472.8	1.02	3472.8	0.96	3472.6	0.85	3471.6	1.0
17  3481.8	-2.66	3481.2	-3.18	3481.0	-3.40	3480.9	-3.51	3480.8	-3.62	3480.7	-3.74	3480.7	0.0
18  3587.8	1.24	3587.2	0.64	3586.8	0.23	3586.6	0.09	3586.5	-0.01	3586.4	-0.11	3586.6	-0.2
19  3675.8	0.88	3675.5	0.58	3675.3	0.41	3675.3	0.38	3675.2	0.37	3675.2	0.37	3673.0	2.2
20  3743.2	1.08	3742.8	0.69	3742.5	0.45	3742.5	0.37	3742.4	0.27	3742.3	0.24
21  3825.6	0.54	3825.7	0.66	3825.7	0.60	3825.7	0.65	3825.6	0.59	3825.5	0.46	3825.3	0.2
22  3888.6	1.41	3888.2	1.01	3887.8	0.61	3887.7	0.51	3887.7	0.43	3887.7	0.45	3886.5	1.2
23  3939.7	1.99	3940.1	2.44	3939.6	1.91	3939.4	1.69	3939.3	1.64	3939.2	1.56	3937.4	1.8
24  3940.8	0.39	3940.6	0.19	3940.4	0.06	3940.3	-0.05	3940.3	-0.05	3940.3	-0.05	3940.2	0.1
25  3996.7	1.02	3995.9	0.18	3996.1	0.33	3995.9	0.13	3995.8	0.09	3995.8	0.08	3995.8	0.0
26  4034.0	0.83	4033.4	0.27	4033.2	0.09	4033.1	-0.02	4033.1	-0.08	4033.0	-0.10
27  4058.5	-0.44	4058.3	-0.64	4058.2	-0.66	4058.3	-0.57	4058.2	-0.67	4058.2	-0.69	4058.3	-0.1
28  4086.0	0.42	4085.7	0.15	4085.6	0.00	4085.5	-0.05	4085.4	-0.11	4085.5	-0.06	4083.1	2.4
29  4166.1	2.19	4165.0	1.14	4164.7	0.85	4164.6	0.76	4164.4	0.56	4164.4	0.51	4163.9	0.5
30  4166.1	1.62	4167.7	3.25	4167.6	3.16	4166.9	2.45	4166.6	2.15	4166.3	1.86
31  4196.7	2.36	4197.0	2.74	4196.9	2.63	4196.8	2.52	4196.5	2.21	4196.4	2.12
32  4250.6	0.09	4251.0	0.54	4251.1	0.62	4251.0	0.51	4250.9	0.38	4250.9	0.38	4248.7	2.2
33  4252.3	-0.77	4252.9	-0.23	4252.8	-0.28	4253.2	0.13	4253.2	0.13	4253.4	0.31	4253.8	-0.4
34  4338.3	1.61	4337.7	1.07	4337.9	1.21	4337.8	1.19	4337.7	1.00	4337.6	0.96	4335.1	2.5
