1   1167.5	0.78	1167.3	0.54	1167.3	0.58	1167.4	0.59	1167.2	0.44	1167.1	0.33	1167.3	-0.2
2   1251.5	0.95	1251.0	0.48	1250.9	0.32	1250.7	0.17	1250.7	0.15	1250.7	0.09	1249.1	1.6
3   1501.7	1.66	1502.0	1.92	1501.9	1.84	1501.7	1.65	1501.7	1.60	1501.4	1.34	1500.2	1.2
4   1747.5	0.83	1747.8	1.17	1747.6	0.96	1747.6	0.97	1747.5	0.90	1747.4	0.76	1746.1	1.3
5   2327.2	-0.12	2326.9	-0.39	2326.8	-0.53	2326.7	-0.54	2326.7	-0.58	2326.6	-0.65	2327.5	-0.9
6   2423.1	1.31	2422.4	0.66	2422.2	0.44	2422.2	0.44	2422.1	0.31	2422.0	0.26	2422.4	-0.4
7   2499.3	1.35	2498.8	0.83	2498.6	0.64	2498.4	0.43	2498.3	0.27	2498.2	0.16	2496.1	2.1
8   2666.7	0.40	2666.8	0.46	2666.6	0.21	2666.3	-0.03	2666.2	-0.11	2666.1	-0.27	2667.1	-1.0
9   2722.0	2.26	2722.0	2.28	2722.2	2.49	2721.9	2.23	2722.1	2.38	2721.9	2.22	2718.6	3.3
10  2780.8	-0.52	2780.3	-0.97	2780.3	-1.02	2780.4	-0.94	2780.3	-0.99	2780.3	-1.02	2782.5	-2.2
11  2843.1	0.48	2842.6	-0.09	2842.2	-0.49	2841.9	-0.72	2841.8	-0.80	2841.8	-0.88	2843.4	-1.6
12  2906.6	0.75	2905.9	0.02	2905.7	-0.19	2905.8	-0.12	2905.5	-0.35	2905.4	-0.47	2906.0	-0.6
13  3002.7	3.66	3001.2	2.16	3000.6	1.52	3000.7	1.60	3000.7	1.67	3001.0	1.91	2998.1	2.9
14  3004.0	2.68	3002.9	1.66	3002.9	1.62	3002.8	1.55	3002.7	1.43	3002.7	1.39	3000.6	2.1
15  3240.5	1.72	3241.2	2.45	3240.0	1.16	3240.1	1.31	3240.3	1.46	3240.2	1.38	3239.0	1.2
16  3473.3	1.51	3475.1	3.28	3474.0	2.21	3473.2	1.37	3473.0	1.19	3472.7	0.92	3471.6	1.1
17  3481.8	-2.58	3481.1	-3.28	3480.8	-3.57	3480.8	-3.61	3480.9	-3.47	3480.9	-3.52	3480.7	0.2
18  3588.1	1.56	3587.6	1.10	3587.0	0.50	3586.9	0.37	3586.7	0.19	3586.7	0.17	3586.6	0.1
19  3675.6	0.73	3675.2	0.35	3675.4	0.52	3675.3	0.44	3675.1	0.27	3675.0	0.14	3673.0	2.0
20  3744.0	1.87	3743.5	1.42	3743.4	1.29	3743.1	1.03	3743.0	0.89	3742.9	0.82
21  3828.6	3.53	3829.1	4.10	3828.7	3.66	3828.4	3.34	3828.1	3.02	3827.8	2.78	3825.3	2.5
22  3888.2	0.98	3888.0	0.77	3887.9	0.67	3887.9	0.64	3888.2	0.99	3888.2	0.94	3886.5	1.7
23  3940.0	2.37	3939.7	1.98	3939.8	2.09	3939.8	2.14	3939.7	2.02	3939.4	1.73	3937.4	2.0
24  3941.3	0.93	3941.4	1.05	3941.4	0.98	3941.1	0.70	3940.8	0.46	3940.6	0.24	3940.2	0.4
25  3997.6	1.91	3996.1	0.41	3995.7	-0.06	3995.3	-0.45	3995.1	-0.68	3995.0	-0.74	3995.8	-0.8
26  4033.7	0.57	4032.8	-0.33	4033.0	-0.18	4032.6	-0.52	4032.6	-0.55	4032.6	-0.51
27  4058.9	-0.04	4057.9	-1.01	4058.0	-0.85	4058.3	-0.60	4058.1	-0.76	4057.9	-0.98	4058.3	-0.4
28  4087.3	1.77	4086.0	0.48	4085.9	0.33	4085.5	-0.08	4085.4	-0.20	4085.1	-0.43	4083.1	2.0
29  4166.7	2.77	4164.0	0.15	4164.0	0.11	4164.0	0.07	4163.5	-0.38	4163.4	-0.52	4163.9	-0.5
30  4170.4	6.00	4168.9	4.42	4169.2	4.78	4170.1	5.66	4170.1	5.70	4170.5	6.09
31  4200.9	6.55	4200.1	5.81	4199.6	5.25	4199.2	4.86	4198.6	4.34	4198.0	3.65
32  4250.4	-0.10	4250.5	0.02	4250.5	0.00	4250.6	0.08	4250.6	0.07	4250.5	0.02	4248.7	1.8
33  4252.0	-1.05	4252.1	-0.98	4252.1	-0.95	4252.2	-0.92	4252.8	-0.25	4252.7	-0.40	4253.8	-1.1
34  4336.7	0.03	4337.0	0.34	4337.3	0.60	4337.4	0.77	4337.4	0.76	4337.5	0.87	4335.1	2.4
35  4401.3	3.89	4399.9	2.44	4398.0	0.56	4397.9	0.48	4397.7	0.28	4397.3	-0.20	4397.5	-0.2
36  4469.2	1.83	4469.3	1.88	4468.6	1.19	4468.7	1.28	4468.8	1.38	4468.2	0.77	4466.8	1.4
37  4520.6	24.49	4516.7	20.60	4515.2	19.11	4515.2	19.12	4512.7	16.65	4511.7	15.60
38  4524.4	-3.78	4526.1	-2.05	4525.5	-2.61	4525.7	-2.42	4525.9	-2.22	4526.1	-2.06	4529.4	-3.3
39  4569.1	-3.58	4570.1	-2.62	4569.6	-3.13	4569.6	-3.14	4570.1	-2.64	4570.2	-2.48	4571.5	-1.3
40  4628.5	4.49	4626.9	2.91	4626.5	2.49	4626.0	2.03	4625.4	1.36	4625.0	0.96	4624.3	0.7
41  4631.2	-15.84	4630.7	-16.32	4629.9	-17.18	4629.8	-17.25	4629.8	-17.30	4629.7	-17.33	4629.0	0.7
42  4727.9	-1.60	4729.1	-0.42	4725.9	-3.57	4725.8	-3.72	4725.9	-3.64	4725.6	-3.89	4730.8	-5.2
